Line	MM/DD/YY hh:mm:ss.ms.us	DTE(hex)	DCE(hex)
302	02/27/18 16:21:18.176.039		00 00 00 00 00 00 00 00 
303	02/27/18 16:21:18.176.732		63 63 63 63 01 10 
304	02/27/18 16:21:18.312.498	02 02 00 08 02 	
305	02/27/18 16:21:18.332.669		02 02 2e cd ae 00 04 9b 
306	02/27/18 16:21:18.333.361		d5 04 00 58 58 01 0a 
307	02/27/18 16:21:18.333.967		ca 00 04 ff 00 00 05 03 
308	02/27/18 16:21:18.334.659		00 02 75 01 04 00 01 00 
309	02/27/18 16:21:18.335.351		00 00 00 00 00 00 00 00 
310	02/27/18 16:21:18.336.044		00 00 00 00 00 00 00 00 
311	02/27/18 16:21:18.336.736		63 63 63 63 9d e4 
312	02/27/18 16:21:18.468.733	02 02 00 08 02 	
313	02/27/18 16:21:18.482.672		02 02 2e cd ae 00 04 9c 
314	02/27/18 16:21:18.483.365		6b 04 00 58 58 01 0a 
315	02/27/18 16:21:18.483.971		ca 00 04 ff 00 00 05 03 
316	02/27/18 16:21:18.484.663		00 02 66 01 04 00 01 00 
317	02/27/18 16:21:18.485.355		00 00 00 00 00 00 00 00 
318	02/27/18 16:21:18.486.048		00 00 00 00 00 00 00 00 
319	02/27/18 16:21:18.486.740		63 63 63 63 b9 ca 
320	02/27/18 16:21:18.625.012	02 02 00 08 02 	
321	02/27/18 16:21:18.642.677		02 02 2e cd ae 00 04 9d 
322	02/27/18 16:21:18.643.369		0b 04 00 58 58 01 0a 
323	02/27/18 16:21:18.643.975		ca 00 04 ff 00 00 05 03 
324	02/27/18 16:21:18.644.667		00 02 56 01 04 00 01 00 
325	02/27/18 16:21:18.645.360		00 00 00 00 00 00 00 00 
326	02/27/18 16:21:18.646.052		00 00 00 00 00 00 00 00 
327	02/27/18 16:21:18.646.745		63 63 63 63 c6 de 
328	02/27/18 16:21:18.781.264	02 02 00 08 02 	
329	02/27/18 16:21:18.792.681		02 02 2e cd ae 00 04 9d 
330	02/27/18 16:21:18.793.374		a1 04 00 58 58 01 0a 
331	02/27/18 16:21:18.793.979		ca 00 04 ff 00 00 05 03 
332	02/27/18 16:21:18.794.672		00 02 47 01 04 00 01 00 
333	02/27/18 16:21:18.795.364		00 00 00 00 00 00 00 00 
334	02/27/18 16:21:18.796.056		00 00 00 00 00 00 00 00 
335	02/27/18 16:21:18.796.748		63 63 63 63 1f d9 
336	02/27/18 16:21:18.937.516	02 02 00 08 02 	
337	02/27/18 16:21:18.952.686		02 02 2e cd ae 00 04 9e 
338	02/27/18 16:21:18.953.378		41 04 00 58 58 01 0a 
339	02/27/18 16:21:18.953.984		ca 00 04 ff 00 00 05 03 
340	02/27/18 16:21:18.954.676		00 02 37 01 04 00 01 00 
341	02/27/18 16:21:18.955.368		00 00 00 00 00 00 00 00 
342	02/27/18 16:21:18.956.060		00 00 00 00 00 00 00 00 
343	02/27/18 16:21:18.956.753		63 63 63 63 41 aa 
344	02/27/18 16:21:19.093.769	02 02 00 08 02 	
345	02/27/18 16:21:19.112.690		02 02 2e cd ae 00 04 9e 
346	02/27/18 16:21:19.113.382		e1 04 00 58 58 01 0a 
347	02/27/18 16:21:19.113.988		ca 00 04 ff 00 00 05 03 
348	02/27/18 16:21:19.114.680		00 02 27 01 04 00 01 00 
349	02/27/18 16:21:19.115.372		00 00 00 00 00 00 00 00 
350	02/27/18 16:21:19.116.065		00 00 00 00 00 00 00 00 
351	02/27/18 16:21:19.116.757		63 63 63 63 85 eb 
352	02/27/18 16:21:19.250.021	02 02 00 08 02 	
353	02/27/18 16:21:19.262.694		02 02 2e cd ae 00 04 9f 
354	02/27/18 16:21:19.263.386		77 04 00 58 58 01 0a 
355	02/27/18 16:21:19.263.992		ca 00 04 ff 00 00 05 03 
356	02/27/18 16:21:19.264.685		00 02 18 01 04 00 01 00 
357	02/27/18 16:21:19.265.377		00 00 00 00 00 00 00 00 
358	02/27/18 16:21:19.266.069		00 00 00 00 00 00 00 00 
359	02/27/18 16:21:19.266.762		63 63 63 63 a9 8d 
360	02/27/18 16:21:19.406.274	02 02 00 08 02 	
361	02/27/18 16:21:19.422.698		02 02 2e cd ae 00 04 a0 
